OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
64fefea7-d83d-4c1a-af4e-d3d1821aff06,BTC-ARK,LIMIT_SELL,17.3629607,0.00031786,0.00001379,0.00551899,8/14/17 21:54,8/14/17 21:54
6b58eaef-5d5d-44a6-b215-304b16c235f9,BTC-ARK,LIMIT_BUY,17.3629607,0.00036499,0.00001584,0.0063373,8/14/17 20:44,8/14/17 20:44
321b42f3-57b2-40a2-abab-f855f2c1ac09,BTC-GNT,LIMIT_SELL,34.33102895,0.00006344,0.00000544,0.00217796,8/14/17 20:43,8/14/17 20:43
11890e81-0790-4e75-8ce0-c627263ed126,BTC-GNT,LIMIT_SELL,65.66897105,0.00006382,0.00001046,0.00419099,8/14/17 20:41,8/14/17 20:42
267eef1c-4169-453c-a6bd-80055c38b030,BTC-NEO,LIMIT_BUY,2.2717975,0.00912,0.00005179,0.02071879,8/11/17 13:56,8/11/17 13:56
6944807b-fb50-4446-967b-00ed76b70887,BTC-STORJ,LIMIT_SELL,100,0.00020814,0.00005203,0.0208141,8/11/17 13:55,8/11/17 13:55
8a038f28-1354-4d61-ac75-388483c8d97b,BTC-NEO,LIMIT_BUY,0.85668256,0.0092501,0.00001978,0.00791583,8/11/17 13:45,8/11/17 13:45
164748bf-4c82-47dc-ba9b-e50f7cc8071f,BTC-STORJ,LIMIT_BUY,100,0.00021497,0.00005374,0.021497,8/10/17 16:11,8/10/17 16:11
fef0933e-4207-4de6-8a0a-ce02e4d4eb7a,BTC-NXT,LIMIT_SELL,400,0.00004006,0.00004007,0.016028,8/10/17 16:10,8/10/17 16:10
0cc14aef-40f5-423b-b58f-ec3b65079e19,BTC-NEO,LIMIT_BUY,75,0.00834141,0.00156186,0.62474999,8/10/17 13:17,8/10/17 13:17
a7ded8fd-40cf-4973-8f4b-4f7b694179fb,BTC-OMG,LIMIT_BUY,50,0.00151749,0.00018968,0.0758745,8/10/17 13:11,8/10/17 13:11
c69c3b96-bc9b-40c1-b7f8-382d3fc2d32c,BTC-OMG,LIMIT_SELL,50.06653958,0.00115201,0.00014419,0.05767715,8/10/17 5:17,8/10/17 5:17
f4341509-e537-4488-bd9c-1db3a5895da9,BTC-NEO,LIMIT_SELL,100,0.0066,0.00164996,0.65999997,8/10/17 5:12,8/10/17 5:13
2baf1cdd-84c1-4480-9244-ad7496ebf0f3,BTC-ETH,LIMIT_BUY,0.2002909,0.08956941,0.00004484,0.01793993,8/9/17 20:33,8/9/17 20:33
6341887b-160e-4d85-bcba-7ed04995777d,BTC-GNT,LIMIT_SELL,200,0.00009014,0.00004507,0.018028,8/9/17 20:32,8/9/17 20:32
2a7af3c0-f474-482f-9fc0-6416915e243e,BTC-ETH,LIMIT_BUY,0.04258586,0.08859523,0.00000942,0.00377097,8/9/17 19:42,8/9/17 19:42
c126eca0-acaf-489c-b83d-362a3dac6e1c,BTC-GNT,LIMIT_SELL,28.04984607,0.00008997,0.0000063,0.00252364,8/9/17 19:39,8/9/17 19:39
c8c04754-e7d9-486a-9281-6030283355fa,BTC-GNT,LIMIT_SELL,13.33481498,0.00008999,0.000003,0.0012,8/9/17 19:38,8/9/17 19:38
916f70cd-b2d0-46aa-8b2f-e5b46663b222,BTC-NXT,LIMIT_BUY,400,0.00004382,0.00004381,0.017524,8/9/17 19:35,8/9/17 19:35
4a082806-de77-419a-8f46-7ef82e97077c,BTC-ETH,LIMIT_SELL,0.2,0.08839903,0.00004419,0.0176798,8/9/17 19:34,8/9/17 19:34
73853a39-2c03-4994-8b13-59f288f32af6,BTC-GNT,LIMIT_BUY,341.3846611,0.00009935,0.00008479,0.03391656,8/6/17 22:00,8/6/17 22:00
b78c2416-2ce6-46f7-a3b4-156b6684d60b,BTC-OMG,LIMIT_SELL,39,0.000873,0.00008521,0.034086,8/6/17 21:59,8/6/17 21:59
fdf18f18-22af-44e2-bf3a-f11d05a2acdb,BTC-OMG,LIMIT_BUY,97.57869992,0.00124,0.00030248,0.12099758,8/5/17 0:45,8/5/17 0:45
b88a0611-edd6-4838-9c45-693025381c22,BTC-STRAT,LIMIT_SELL,51.41801385,0.002365,0.00030401,0.12160411,8/5/17 0:44,8/5/17 0:44
b0149be0-c303-49eb-80e2-46e212b06e25,BTC-STRAT,LIMIT_BUY,51.41801385,0.00227,0.00029179,0.11671889,8/4/17 22:58,8/4/17 22:59
bfe0990f-fbec-406c-b6c9-b215db7df255,BTC-GNT,LIMIT_SELL,1160.396086,0.00010108,0.00029326,0.11730444,8/4/17 22:58,8/4/17 22:58
c310a1b7-a2ba-4ea7-8051-616385481ee3,BTC-OMG,LIMIT_BUY,41.48783966,0.000885,0.00009179,0.03671673,8/4/17 20:22,8/4/17 20:22
8483acd9-bef7-4ef0-9e44-b4670f52be5a,BTC-ETH,LIMIT_SELL,1.99824203,0.08000406,0.00039966,0.15986755,8/3/17 22:57,8/3/17 22:57
7ab723a3-a5bf-4fcd-aecf-bc9eefa8a8af,BTC-ETH,LIMIT_SELL,3,0.08072505,0.00060543,0.2421757,8/3/17 17:57,8/3/17 17:57
7ba37bcf-c0ed-46ae-ae4e-8d959c1454f0,BTC-ETH,LIMIT_SELL,2.80824203,0.08701,0.00061108,0.2444343,7/20/17 16:57,7/20/17 16:57
b49e2072-7323-4dd5-8d6b-9f02649108ee,BTC-POT,LIMIT_SELL,2747.87234,0.00004018,0.00027609,0.11043698,6/30/17 16:11,6/30/17 16:11
2ace354d-b7ae-4b80-90de-87f40a57b8f9,BTC-ETH,LIMIT_SELL,1.99776119,0.11720104,0.00058534,0.23413968,6/29/17 21:54,6/29/17 21:58
e50e0579-03c1-4783-8207-9e830139f19e,BTC-ETH,LIMIT_SELL,0.99778605,0.12339999,0.00030781,0.12312678,6/29/17 0:16,6/29/17 0:16
d15ddc63-2eb1-4c1a-bfaf-096cbf93c01a,BTC-GNT,LIMIT_BUY,536.7713005,0.000223,0.00029924,0.11969999,6/28/17 22:48,6/28/17 22:50
2335b6aa-388a-4182-be88-840f45f7d5db,BTC-POT,LIMIT_BUY,2747.87234,0.00004465,0.00030671,0.12269248,6/28/17 22:46,6/28/17 22:57
217ba5b9-94b5-443d-835c-427ab804e538,BTC-ETH,LIMIT_SELL,1.99718604,0.12205048,0.00060938,0.2437575,6/28/17 22:40,6/28/17 22:42
7ca37307-7a2a-42d1-a3c3-861087adfb96,BTC-GNT,LIMIT_BUY,424.5565368,0.000221,0.00023456,0.09382699,6/28/17 21:32,6/28/17 21:32
c089e8e5-fa73-4e6a-9165-4903e9a2dd31,BTC-ETH,LIMIT_SELL,0.760467,0.124,0.00023574,0.09429789,6/28/17 21:27,6/28/17 21:27
c8e9ea39-4601-43ca-9beb-a1b73f1a37ff,BTC-NEO,LIMIT_SELL,100,0.00568,0.00142,0.568,10/24/17 13:50,10/24/17 13:50
0959f902-4cb1-4138-902c-e6b472fde169,BTC-NEO,LIMIT_BUY,90,0.00534253,0.00120204,0.48082767,10/12/17 16:45,10/12/17 16:50
c1cb5ed9-a3e7-4f9b-bd3e-fb7b1029310e,BTC-NAV,LIMIT_SELL,200,0.00025801,0.00012957,0.05183218,9/27/17 17:32,9/27/17 17:32
74afe9d2-12ce-4e25-ba04-6c06e4b223c6,BTC-MTL,LIMIT_BUY,12,0.002655,0.00007965,0.03186,9/12/17 13:38,9/12/17 13:38
68501ec2-c96d-40c2-96f5-a634838f5812,BTC-ADX,LIMIT_SELL,100,0.0002098,0.00005245,0.02098,9/7/17 22:19,9/7/17 22:19
62fc2b42-2581-4005-93e3-53d42693a805,BTC-NAV,LIMIT_SELL,70,0.00032435,0.00005677,0.022708,9/7/17 22:19,9/7/17 22:19
034f9c52-4797-4c5a-a728-0fc1a12e6994,BTC-NAV,LIMIT_BUY,70,0.000322,0.00005634,0.0225393,9/7/17 13:55,9/7/17 13:55
c584ac17-614d-4ae0-b152-66a145e82513,BTC-RISE,LIMIT_SELL,200,0.00007499,0.00003749,0.014998,9/7/17 13:52,9/7/17 13:52
737537e8-4b2c-40f9-bcfc-86086b1f71b6,BTC-LSK,LIMIT_SELL,20,0.00123204,0.00006195,0.02478,8/26/17 3:58,8/26/17 3:58
